Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY26 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Last Inspection Standard,Last Final Rating
OTAY MESA DETENTION CENTER,7488 CALZADA DE LA FUENTE,SAN DIEGO,CA,92154,SND,CDF,Female/Male,55,"1,022",297,85,67,219,994,18,242,132,43,85,"1,212",501,750,ODO,11/7/2024,PBNDS 2011 - 2016 Revisions,Pass
OTERO COUNTY PROCESSING CENTER,26 MCGREGOR RANGE ROAD,CHAPARRAL,NM,88081,ELP,DIGSA,Female/Male,60,679,105,69,53,132,633,9,132,57,47,64,738,382,500,ODO,11/7/2024,PBNDS 2011 - 2016 Revisions,Pass
OZARK COUNTY SHERIFF'S OFFICE,1818 COUNTY ROAD 806,GAINESVILLE,MO,65655,CHI,IGSA,,33,7,1,7,6,10,11,0,0,6,2,3,10,11,,ODO,9/18/2025,NDS 2025,Pass
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),300 KANSAS CITY STREET NONE,RAPID CITY,SD,57701,SPM,USMS IGA,Female/Male,4,2,0,0,0,1,3,0,0,0,0,0,3,2,,ORSA,Scheduled FY26,ORSA NDS 2019,Pass
PHELPS COUNTY JAIL (MO),301 W. 2ND,ROLLA,MO,65401,CHI,USMS IGA,Female/Male,38,7,2,4,3,3,11,1,1,1,2,2,11,10,,,Scheduled FY27,,
PHELPS COUNTY JAIL (NE),715 5TH AVENUE,HOLDREGE,NE,68949,SPM,USMS IGA,Female/Male,46,6,4,7,6,13,9,1,1,7,5,5,8,18,,ODO,2/6/2025,NDS 2019,Pass
PICKENS COUNTY DETENTION CENTER,188 CEMETERY ST,CARROLLTON,AL,35447,NOL,IGSA,Female/Male,4,30,7,4,3,5,33,2,3,3,2,4,35,23,,ODO,Scheduled FY26,NDS 2019,Pass
PIKE COUNTY JAIL,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PA,18428,PHI,IGSA,Male,59,129,56,33,22,71,170,0,0,37,18,28,158,102,100,ODO,2/27/2025,PBNDS 2011 - 2016 Revisions,Pass
PINE PRAIRIE ICE PROCESSING CENTER,1133 HAMPTON DUPRE ROAD,PINE PRAIRIE,LA,70576,NOL,DIGSA,Male,16,518,149,136,94,201,696,0,0,115,52,84,647,650,,ODO,4/10/2025,PBNDS 2011 - 2016 Revisions,Pass
PINELLAS COUNTY JAIL,14400 49TH STREET NORTH,CLEARWATER,FL,33762,MIA,USMS IGA,Female/Male,2,24,6,4,3,6,24,1,7,4,2,3,28,15,,ODO,5/15/2025,NDS 2019,Pass
PLYMOUTH COUNTY CORRECTIONAL FACILITY,26 LONG POND ROAD,PLYMOUTH,MA,2360,BOS,IGSA,Male,45,202,34,146,121,136,367,0,0,90,40,34,339,211,,ODO,11/21/2024,NDS 2019,Pass
POLK COUNTY JAIL,1985 NE 51ST PLACE,DES MOINES,IA,50313,SPM,USMS IGA,Female/Male,24,20,17,8,8,25,24,1,3,10,9,15,18,36,,ODO,2/6/2025,NDS 2019,Fail
PORT ISABEL SPC,27991 BUENA VISTA BOULEVARD,LOS FRESNOS,TX,78566,HLG,SPC,Female/Male,7,"1,114",89,46,32,129,"1,139",1,11,51,39,85,"1,105",639,650,ODO,3/27/2025,PBNDS 2011 - 2016 Revisions,Pass
POTTAWATTAMIE COUNTY JAIL,1400 BIG LAKE ROAD,COUNCIL BLUFFS,IA,51501,SPM,USMS IGA,Female/Male,19,6,4,6,14,18,9,1,2,11,5,7,7,22,,ODO,10/24/2024,NDS 2019,Pass
PRAIRIELAND DETENTION CENTER,1209 SUNFLOWER LN,ALVARADO,TX,76009,DAL,DIGSA,Female/Male,21,642,106,142,62,143,675,25,110,93,45,67,748,632,525,ODO,12/19/2024,PBNDS 2011 - 2016 Revisions,Pass
PUTNAM COUNTY SHERIFF,421 E SPRING ST.,COOKEVILLE,TN,38501,NOL,USMS IGA,,2,10,3,2,1,4,13,0,0,2,3,3,10,12,,,,,
RICHWOOD CORRECTIONAL CENTER,180 PINE BAYOU CIRCLE,MONROE,LA,71202,NOL,DIGSA,Female/Male,51,893,127,41,28,65,297,43,684,47,30,55,956,736,677,ODO,11/7/2024,PBNDS 2011 - 2016 Revisions,Pass
RIO GRANDE DETENTION CENTER,1001 SAN RIO BOULEVARD,LAREDO,TX,78046,HLG,USMS CDF,Male,61,569,55,1,0,46,579,0,0,4,16,40,565,375,275,ODO,1/9/2025,NDS 2019,Pass
RIVER CORRECTIONAL CENTER,26362 HIGHWAY 15,FERRIDAY,LA,71334,NOL,DIGSA,Male,60,471,87,23,4,46,539,0,0,9,14,34,527,404,361,ODO,11/21/2024,PBNDS 2011 - 2016 Revisions,Pass
RIVERSIDE REGIONAL JAIL,1000 RIVER ROAD,HOPEWELL,VA,23860,WAS,USMS IGA,Female/Male,3,43,39,6,4,13,76,1,3,6,6,9,72,45,,,,,
ROANOKE CITY JAIL,340 CAMPBELL AVENUE SOUTHWEST,ROANOKE,VA,24016,WAS,USMS IGA,Female/Male,2,1,0,0,0,0,1,0,0,0,0,0,1,1,,,Scheduled FY26,,
ROBERT A DEYTON DETENTION FACILITY,11866 HASTINGS BRIDGE ROAD P.O. BOX 429,LOVEJOY,GA,30250,ATL,USMS IGA,Male,4,7,4,1,3,6,8,0,0,3,2,2,7,8,,ODO,Scheduled FY26,NDS 2019,Pass
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),"VICENTE T. SEMAN BLDG, CIVIC CENTER",SAIPAN,MP,96950,SFR,USMS IGA,Female/Male,40,5,11,5,0,3,15,1,2,4,1,1,15,13,,ORSA,3/8/2024,ORSA NDS 2019,Pass
SAN DIEGO DISTRICT STAGING,US INS DETENTION & DEPORTATION,SAN DIEGO,CA,92101,SND,STAGING,Female/Male,0,5,4,0,0,3,6,0,2,1,1,1,7,6,,,,,
SAN JUAN STAGING,"651 FEDERAL DRIVE, SUITE 104",GUAYNABO,PR,965,MIA,STAGING,Female/Male,3,11,2,2,1,2,13,0,1,2,1,1,13,9,100,,,,
SAN LUIS REGIONAL DETENTION CENTER,406 NORTH AVENUE D,SAN LUIS,AZ,85349,SND,IGSA,Female/Male,62,241,39,19,26,58,210,1,56,36,12,16,262,166,100,ODO,4/25/2024,NDS 2019,Pass
SARASOTA COUNTY JAIL,2020 MAIN ST,SARASOTA,FL,34237,MIA,IGSA,Female/Male,1,0,1,0,0,0,1,0,0,0,0,0,1,0,,,,,
SARPY COUNTY JAIL,1208 GOLDEN GATE DRIVE,PAPILLION,NE,68046,SPM,USMS IGA,Female/Male,20,6,3,5,6,10,9,0,1,4,4,5,7,14,,,Scheduled FY26,,
SAUK COUNTY SHERIFF,1300 LANGE CT.,BARABOO,WI,53913,CHI,USMS IGA,Female/Male,15,5,1,6,2,4,10,0,0,1,2,2,9,9,,,Scheduled FY26,,
SCOTT COUNTY DET. FACILITY,416 W 4TH ST,DAVENPORT,IA,52801,CHI,USMS IGA,Female/Male,2,0,0,0,1,1,0,0,0,1,0,0,0,1,,,Scheduled FY26,,
SEBASTIAN COUNTY DETENTION CENTER,801 SOUTH A STREET,FORT SMITH,AR,72901,NOL,USMS IGA,Female/Male,2,1,0,0,0,0,1,0,0,0,0,0,1,1,,ODO OASIP,6/12/2025,NDS 2019,Pass
SENECA COUNTY JAIL,3040 SOUTH STATE HIGHWAY 100,TIFFIN,OH,44883,DET,IGSA,Female/Male,30,39,10,6,5,12,44,0,4,2,2,10,46,37,,ODO,10/31/2024,NDS 2019,Pass
