Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
NELSON COLEMAN CORRECTION,5061 HIGHWAY 3127,KILLONA,LA,70057,NOL,USMS IGA,Male,2,1,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,
PICKENS COUNTY DETENTION CENTER,188 CEMETERY ST,CARROLLTON,AL,35447,NOL,IGSA,Female/Male,3,14,11,10,4,14,21,3,2,0,1,1,37,33,,ODO,8/8/2024,,NDS 2019,Pass
PINE PRAIRIE ICE PROCESSING CENTER,1133 HAMPTON DUPRE ROAD,PINE PRAIRIE,LA,70576,NOL,DIGSA,Male,12,367,146,166,109,290,496,0,1,51,31,37,668,731,,ODO,4/10/2025,,PBNDS 2011 - 2016 Revised,Pass
PUTNAM COUNTY SHERIFF,421 E SPRING ST.,COOKEVILLE,TN,38501,NOL,USMS IGA,,2,2,2,1,1,3,3,0,0,0,0,0,6,4,,,,,,
RIVER CORRECTIONAL CENTER,26362 HIGHWAY 15,FERRIDAY,LA,71334,NOL,DIGSA,Male,78,470,76,8,2,32,523,0,1,4,6,13,533,412,361,ODO,11/21/2024,,PBNDS 2011 - 2016 Revised,Pass
RICHWOOD CORRECTIONAL CENTER,180 PINE BAYOU CIRCLE,MONROE,LA,71202,NOL,DIGSA,Female/Male,48,806,70,40,27,68,126,26,723,31,16,27,868,616,677,ODO,11/7/2024,,PBNDS 2011 - 2016 Revised,Pass
SEBASTIAN COUNTY DETENTION CENTER,801 SOUTH A STREET,FORT SMITH,AR,72901,NOL,USMS IGA,Female/Male,2,1,0,0,0,1,1,0,0,0,0,0,2,1,,ODO,6/12/2025,,NDS 2019,Pass
WASHINGTON COUNTY DETENTION CENTER,1155 WEST CLYDESDALE DRIVE,FAYETTEVILLE,AR,72701,NOL,USMS IGA,Female/Male,2,1,2,2,1,2,3,0,0,0,0,0,5,4,,ODO,4/24/2025,,NDS 2019,Pass
PLYMOUTH COUNTY CORRECTIONAL FACILITY,26 LONG POND ROAD,PLYMOUTH,MA,2360,BOS,IGSA,Male,37,172,27,143,107,146,302,0,1,34,13,11,392,311,,ODO,11/21/2024,,NDS 2019,Pass
SAUK COUNTY SHERIFF,1300 LANGE CT.,BARABOO,WI,53913,CHI,USMS IGA,Female/Male,7,1,1,1,0,1,1,0,0,0,0,0,2,1,,,,,,
